wid,model,nll,β_depthlim,β_satisfice,θ_prune,β_best_next,β_prune,θ_depthlim,ε,θ_prob_better,β_depth,β_prob_best,β_prob_better,β_expand,β_best,θ_term
65,Depth,172.99071667610613,100000.0,0.0,-1.0e10,0.0,100000.0,1.0e10,0.1572564618228807,0.0,4.945377433258767,0.0,0.0,0.0,0.0,-1.248849786137916
66,Depth,197.9568145691353,100000.0,0.0,-1.0e10,0.0,100000.0,1.0e10,0.9959349626999157,0.0,6.2031058652752674e-6,0.0,0.0,0.0,0.0,20.522967846371667
67,Depth,173.49693843354385,100000.0,0.0,-1.0e10,0.0,100000.0,1.0e10,0.9606481481502904,0.0,0.11301734626273985,0.0,0.0,0.0,0.0,34.09320699290573
68,Depth,151.7923474152835,100000.0,0.0,-1.0e10,0.0,100000.0,1.0e10,0.9210526340664074,0.0,0.0017506347014697777,0.0,0.0,0.0,0.0,28.33643353502906
69,Depth,151.40875681355425,100000.0,0.0,-1.0e10,0.0,100000.0,1.0e10,0.9078947402844778,0.0,0.009210541124177867,0.0,0.0,0.0,0.0,50.822680585811526
71,Depth,163.54697965678835,100000.0,0.0,-1.0e10,0.0,100000.0,1.0e10,0.943574454710372,0.0,1.129957810337257e-15,0.0,0.0,0.0,0.0,7.192840455177576
710,Depth,74.31736333320146,100000.0,0.0,-1.0e10,0.0,100000.0,1.0e10,0.06711761794309226,0.0,10.062759645599652,0.0,0.0,0.0,0.0,-0.03502023833428564
711,Depth,108.00620553248065,100000.0,0.0,-1.0e10,0.0,100000.0,1.0e10,0.8035714285714646,0.0,0.3109821789417238,0.0,0.0,0.0,0.0,34.622931192039054
712,Depth,120.62375527302856,100000.0,0.0,-1.0e10,0.0,100000.0,1.0e10,0.8441558441558806,0.0,0.4999506652144631,0.0,0.0,0.0,0.0,41.059432178300305
713,Depth,136.4026221698378,100000.0,0.0,-1.0e10,0.0,100000.0,1.0e10,0.8866279069868473,0.0,0.002496340664948108,0.0,0.0,0.0,0.0,48.324427236035525
72,Depth,134.67044911383906,100000.0,0.0,-1.0e10,0.0,100000.0,1.0e10,0.8823529411781909,0.0,0.14694497349874558,0.0,0.0,0.0,0.0,35.22824440635277
73,Depth,143.2849356375951,100000.0,0.0,-1.0e10,0.0,100000.0,1.0e10,0.902777777986933,0.0,0.0013068479792818187,0.0,0.0,0.0,0.0,55.80558977607849
74,Depth,124.16924170919276,100000.0,0.0,-1.0e10,0.0,100000.0,1.0e10,0.8544303797352798,0.0,8.494735914623153e-6,0.0,0.0,0.0,0.0,23.072825872389732
75,Depth,125.9330998260134,100000.0,0.0,-1.0e10,0.0,100000.0,1.0e10,0.859375001053771,0.0,0.3212134960914347,0.0,0.0,0.0,0.0,37.18323792379069
76,Depth,102.48474907662353,100000.0,0.0,-1.0e10,0.0,100000.0,1.0e10,0.783582089556601,0.0,0.17972703991934932,0.0,0.0,0.0,0.0,69.37455294843025
77,Depth,101.58550958167496,100000.0,0.0,-1.0e10,0.0,100000.0,1.0e10,0.7649253731344037,0.0,0.5795270229298249,0.0,0.0,0.0,0.0,60.54184882359189
78,Depth,86.20405162603949,100000.0,0.0,-1.0e10,0.0,100000.0,1.0e10,0.3701480074877758,0.0,1.8590037311760026,0.0,0.0,0.0,0.0,0.33147527554769596
