wid,gain_z,jump
w02b14d3,0.030335114192281035,0
w02b14d3,-0.001703077346381287,0
w02b14d3,0.030335114192281035,0
w02b14d3,0.033544017531808225,0
w02b14d3,0.17650936308738008,0
w02b14d3,0.8225763906044135,0
w02b14d3,0.1628681018463194,0
w02b14d3,-0.12985584350103055,0
w02b14d3,0.030335114192281035,0
w02b14d3,,0
w02b14d3,,0
w02b14d3,0.9609806349781058,1
w02b14d3,0.09764973244949438,1
w02b14d3,0.030335114192281035,0
w02b14d3,0.16324354940343486,0
w02b14d3,-0.2710241249681783,0
w02b14d3,0.030335114192281035,0
w02b14d3,,0
w02b14d3,0.09992197235234321,0
w02b14d3,0.08105182169633607,0
w02b14d3,-0.07378900830836241,0
w02b14d3,-0.025731721000368923,0
w02b14d3,-0.001703077346381287,0
w02b14d3,0.030335114192281035,0
w02b14d3,-0.9948870150446765,0
w02b14d3,0.03444743821605016,0
w02b14d3,0.010072678845399639,0
w02b14d3,0.030335114192281035,0
w02b14d3,0.030335114192281035,0
w02b14d3,-0.9788679192753817,0
w02b14d3,,0
w02b14d3,,0
w02b14d3,,0
w02b14d3,0.030335114192281035,0
w02b14d3,0.8907983404580165,0
w02b14d3,0.030335114192281035,0
w02b14d3,0.030335114192281035,0
w02b14d3,0.03033511419224461,0
w02b14d3,-0.22597041811694468,0
w02b14d3,,0
w02b14d3,0.02083844199947093,0
w02b14d3,0.6746461421975495,0
w02b14d3,0.019760008000832767,0
w02b14d3,0.030335114192281035,0
w02b14d3,0.030335114192281035,0
w02b14d3,-0.9948870150447312,0
w02b14d3,-0.9948870150446947,0
w02b14d3,,0
w05d02a2,0.03048861749031987,0
w05d02a2,0.43625649800333366,0
w05d02a2,0.43625649800333366,0
w05d02a2,0.030335114192281035,0
w05d02a2,0.030335114192281035,0
w05d02a2,0.030335114192281035,0
w05d02a2,0.030335114192281035,0
w05d02a2,-0.45023775888758094,0
w05d02a2,,0
w05d02a2,0.030335114192281035,1
w05d02a2,0.032337501163454255,0
w05d02a2,0.03033511419224461,0
w05d02a2,-0.0077102382599009605,0
w05d02a2,0.030335114192281035,0
w05d02a2,0.030335114192281035,1
w05d02a2,,0
w05d02a2,,0
w05d02a2,,0
w05d02a2,0.027367709672022913,0
w05d02a2,0.3095194820118988,0
w05d02a2,0.10795889662141481,0
w05d02a2,0.11393477023844445,0
w05d02a2,0.11393477023844445,0
w05d02a2,-0.21395609628997816,0
w05d02a2,-0.43421866311823154,0
w05d02a2,-0.45023775888754447,0
w05d02a2,,0
w05d02a2,0.054273806869073814,0
w05d02a2,0.0570544653387474,0
w05d02a2,0.16584039500664383,0
w05d02a2,0.5079044068153286,1
w05d02a2,0.5209199221279363,1
w05d02a2,0.45484115207947484,0
w05d02a2,0.030335114192281035,0
w05d02a2,,0
